id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
5381654,2015/10/27 8:14 AM IST,2015-10-27,2015-10-27 02:44:00 UTC,Kolkata,34585,subhajit_roy,2017-03-17 18:05:40 UTC,2017-06-24 08:54:17 UTC,research,CC-BY,https://www.inaturalist.org/observations/5381654,https://inaturalist-open-data.s3.amazonaws.com/photos/6607964/medium.jpeg?1489773926,,,,1,0,false,,Neora Valley National Park,27.101895,88.697994,,,,,,,,false,,,Himalayan Striped Squirrel,Tamiops macclellandii,Himalayan Striped Squirrel,Mammalia,75151,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Callosciurinae,,Callosciurini,,Tamiops,,Tamiops macclellandii,,,,
19115147,2018/12/09 7:38 AM UTC,2018-12-09,,UTC,1390271,ani2018,2018-12-20 07:35:16 UTC,2018-12-28 04:56:18 UTC,research,,https://www.inaturalist.org/observations/19115147,https://static.inaturalist.org/photos/29339118/medium.jpg?1545291239,,,,1,0,false,,"Bangal, Darjeeling, West Bengal 734101, India",27.0824496,88.7006888,200,,,,200,,,false,,,Himalayan Striped Squirrel,Tamiops macclellandii,Himalayan Striped Squirrel,Mammalia,75151,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Callosciurinae,,Callosciurini,,Tamiops,,Tamiops macclellandii,,,,
20906400,2016-09-02,2016-09-02,,New Delhi,100843,samjulian88,2019-03-03 09:25:33 UTC,2020-10-24 14:45:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/20906400,https://inaturalist-open-data.s3.amazonaws.com/photos/32263633/medium.jpeg?1551605129,,"squirrel, rodent",One of the few free creatures inside the zoo. ,1,0,false,,darjeeling zoo,27.055976,88.256185,,,,,,,open,false,,,Irrawaddy Squirrel,Callosciurus pygerythrus,Irrawaddy Squirrel,Mammalia,45953,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Callosciurinae,,Callosciurini,,Callosciurus,,Callosciurus pygerythrus,,,,
29433419,2019/04/21 7:50 AM UTC,2019-04-21,,UTC,2025878,ashwinv,2019-07-24 09:29:20 UTC,2019-07-24 09:29:21 UTC,casual,CC-BY,https://www.inaturalist.org/observations/29433419,,,,,0,0,false,,Neora Valley National Park,27.072017706,88.6938223404,1425,,,,1425,,open,false,,,Orange-bellied Himalayan Squirrel,Dremomys lokriah,Orange-bellied Himalayan Squirrel,Mammalia,46172,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Callosciurinae,,Callosciurini,,Dremomys,,Dremomys lokriah,,,,
29433420,2019/04/21 7:50 AM UTC,2019-04-21,,UTC,2025878,ashwinv,2019-07-24 09:29:21 UTC,2019-07-24 09:29:21 UTC,casual,CC-BY,https://www.inaturalist.org/observations/29433420,,,,,0,0,false,,Neora Valley National Park,27.072017706,88.6938223404,1425,,,,1425,,open,false,,,Himalayan Striped Squirrel,Tamiops macclellandii,Himalayan Striped Squirrel,Mammalia,75151,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Callosciurinae,,Callosciurini,,Tamiops,,Tamiops macclellandii,,,,
29627451,2019/04/20 4:18 PM UTC,2019-04-20,,UTC,2025878,ashwinv,2019-07-27 10:05:08 UTC,2019-08-05 06:06:28 UTC,research,CC-BY,https://www.inaturalist.org/observations/29627451,https://inaturalist-open-data.s3.amazonaws.com/photos/46242270/medium.jpeg?1564210666,,,,2,0,false,,"Lava, West Bengal 734319, India",27.08704,88.662404,100,,,,100,,open,false,,,Irrawaddy Squirrel,Callosciurus pygerythrus,Irrawaddy Squirrel,Mammalia,45953,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Callosciurinae,,Callosciurini,,Callosciurus,,Callosciurus pygerythrus,,,,
29627452,2019/04/22 8:37 AM UTC,2019-04-22,,UTC,2025878,ashwinv,2019-07-27 10:05:09 UTC,2019-08-05 06:06:26 UTC,research,CC-BY,https://www.inaturalist.org/observations/29627452,https://inaturalist-open-data.s3.amazonaws.com/photos/46242272/medium.jpeg?1564210668,,,,2,0,false,,"Rishop, West Bengal 734319, India",27.1077749399,88.6471200271,96,,,,96,,open,false,,,Himalayan Striped Squirrel,Tamiops macclellandii,Himalayan Striped Squirrel,Mammalia,75151,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Callosciurinae,,Callosciurini,,Tamiops,,Tamiops macclellandii,,,,
29627464,2019/04/27 8:20 AM UTC,2019-04-27,,UTC,2025878,ashwinv,2019-07-27 10:05:17 UTC,2020-12-19 23:08:00 UTC,research,CC-BY,https://www.inaturalist.org/observations/29627464,https://inaturalist-open-data.s3.amazonaws.com/photos/46242419/medium.jpeg?1564210869,,,,3,0,false,,"North Sikkim, Sikkim, India",27.936554,88.546572,100,,,,100,,open,false,,,Himalayan Marmot,Marmota himalayana,Himalayan Marmot,Mammalia,46094,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Xerinae,,Marmotini,,Marmota,,Marmota himalayana,,,,
31904301,2016/06/01 6:37 PM IST,2016-06-01,2016-06-01 13:07:00 UTC,Chennai,1250948,mahathi,2019-09-01 08:55:23 UTC,2019-09-01 11:41:36 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/31904301,https://inaturalist-open-data.s3.amazonaws.com/photos/49984582/medium.jpeg?1567327991,,,,1,0,false,,"Uttarey, Sikkim, India",27.2593453164,88.0935084967,977,,,,977,,open,false,,,Irrawaddy Squirrel,Callosciurus pygerythrus,Irrawaddy Squirrel,Mammalia,45953,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Callosciurinae,,Callosciurini,,Callosciurus,,Callosciurus pygerythrus,,,,
35022574,2018-11-18 8:42:15 AM GMT+05:30,2018-11-18,2018-11-18 03:12:15 UTC,Chennai,2304517,supratimdeb,2019-10-28 20:54:23 UTC,2019-11-05 16:02:38 UTC,research,CC-BY,https://www.inaturalist.org/observations/35022574,https://inaturalist-open-data.s3.amazonaws.com/photos/55196788/medium.jpg?1572296069,,,,1,0,false,2,"Aritar, Sikkim, India",27.1862424838,88.6797104403,132,,,,132,,open,false,gps,gps,Irrawaddy Squirrel,Callosciurus pygerythrus,Irrawaddy Squirrel,Mammalia,45953,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Callosciurinae,,Callosciurini,,Callosciurus,,Callosciurus pygerythrus,,,,
