"catalogNumber","createdBy","placeName","flagNotes","noOfIdentifications","geoPrivacy","createdOn","associatedMedia","group_id","dateAccuracy","isLocked","locationLat","locationLon","locationScale","fromDate","toDate","rank","scientificName","commonName","kingdom","phylum","class","order","superfamily","family","genus","species","","","reverseGeocodedName","state","tahsil","district","","toDate","observedInMonth",""
"1746420","Jon","Singalila Forest, West Bengal, India",,"2","false","06/07/2017","/02ec9ffe-758d-4224-a06d-739d751ff558/793.JPG","Mammals",,"false","27.13133430480957","88.05599975585938","APPROXIMATE","09/04/2016","09/04/2016","Species","Petaurista magnificus (Hodgson 1836)","Hodgson's Flying Squirrel:English","Animalia","Chordata","Mammalia","Rodentia",,"Sciuridae","Petaurista","Petaurista magnificus (Hodgson 1836)",,,"Singalila Forest, West Bengal, India","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"2016-04-09T00:00:00.000Z","April",
"1746419","Jon","Unnamed Road, Singalila Forest, West Bengal 734221, India",,"2","false","06/07/2017","/660d2053-b1ab-44c7-9b85-68fc217ffc8a/494.JPG","Mammals",,"false","27.037302017211914","88.09196472167969","APPROXIMATE","05/04/2016","05/04/2016","Species","Petaurista elegans (Müller 1840)","Grey-headed Flying Squirrel:English","Animalia","Chordata","Mammalia","Rodentia",,"Sciuridae","Petaurista","Petaurista elegans (Müller 1840)",,,"Unnamed Road, Singalila Forest, West Bengal 734221, India","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"2016-04-05T00:00:00.000Z","April",
"1746418","Jon","Srikhola,one of the spring which meets to Rammam River at Rimbick, West Bengal 734201, India",,"2","false","06/07/2017","/a4c155c0-96b5-4fd5-b9c0-de3f28d2c402/279.JPG","Mammals",,"false","27.130338668823242","88.07440948486328","APPROXIMATE","10/04/2016","10/04/2016","Species","Dremomys lokriah (Hodgson 1836)","Orange-bellied Himalayan Squirrel:English","Animalia","Chordata","Mammalia","Rodentia",,"Sciuridae","Dremomys","Dremomys lokriah (Hodgson 1836)",,,"Srikhola,one of the spring which meets to Rammam River at Rimbick, West Bengal 734201, India","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"2016-04-10T00:00:00.000Z","April",
"1726914","Rohit George","Unnamed Road, Champasari Forest, West Bengal 734007, India",,"1","true","29/06/2016","/c8987b32-6ed1-4e6e-9ce0-e2e0109447db/160.jpg","Mammals",,"false","26.8131160736084","88.42393493652344","APPROXIMATE","26/06/2016","26/06/2016","Species","Semnopithecus entellus (Dufresne 1797)","Grey Langur:English","Animalia","Chordata","Mammalia","Primates","Cercopithecoidea","Cercopithecidae","Semnopithecus","Semnopithecus entellus (Dufresne 1797)",,,"Unnamed Road, Champasari Forest, West Bengal 734007, India","WEST BENGAL","Matigara","DARJILING",,"2016-06-26T00:00:00.000Z","June",
"1723072","Upamanyu Chakraborty","latpanchar, West Bengal, India",,"2","true","23/04/2016","/b3cd8c53-de8e-4455-a56d-40bebc0df386/223.JPG","Mammals",,"false","26.91590690612793","88.40281677246094","APPROXIMATE","13/03/2016","13/03/2016","Species","Callosciurus pygerythrus (I. Geoffroy Saint-Hilaire 1833)","Hoary Bellied Squirrel:English","Animalia","Chordata","Mammalia","Rodentia",,"Sciuridae","Callosciurus","Callosciurus pygerythrus (I. Geoffroy Saint-Hilaire 1833)",,,"latpanchar, West Bengal, India","WEST BENGAL","Kurseong","DARJILING",,"2016-03-13T00:00:00.000Z","March",
"1723071","Upamanyu Chakraborty","Siliguri, West Bengal 734001, India",,"1","true","23/04/2016","/452b8f8f-640e-44d6-a08d-073744f889b5/789.JPG","Mammals",,"false","26.727100372314453","88.3952865600586","APPROXIMATE","23/03/2016","23/03/2016","Species","Funambulus pennantii Wroughton 1905","Five-striped Palm Squirrel:English","Animalia","Chordata","Mammalia","Rodentia",,"Sciuridae","Funambulus","Funambulus pennantii Wroughton 1905",,,"Siliguri, West Bengal 734001, India","WEST BENGAL","Matigara","DARJILING",,"2016-03-23T00:00:00.000Z","March",
"1723070","Upamanyu Chakraborty","Darjeeling, West Bengal 734101, India",,"2","true","23/04/2016","/27fd3a27-7c67-4a57-93d3-9657294fa3a4/55.jpg","Mammals",,"false","27.037721633911133","88.26287078857422","APPROXIMATE","21/04/2016","21/04/2016","Species","Ailurus fulgens F. G. Cuvier 1825","Red Panda:null","Animalia","Chordata","Mammalia","Carnivora",,"Ailuridae","Ailurus","Ailurus fulgens F. G. Cuvier 1825",,,"Darjeeling, West Bengal 734101, India","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"2016-04-21T00:00:00.000Z","April",
"852865","admin","DARJEELING, West bengal",,"1","false","09/03/2016",,"Others",,"false","27.01667","88.21667","APPROXIMATE","27/12/1968","27/12/1968","Genus","Crocidura","","Animalia","Chordata","Mammalia","Soricomorpha",,"Soricidae","Crocidura",,,,"DARJEELING, West bengal","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"1968-12-27T00:00:00.000Z","December",
"1074288","admin","West Bengal State, Darjeeling District",,"1","false","09/03/2016",,"Mammals",,"false","27.15","88.0833","APPROXIMATE","12/07/1958","12/07/1958","Species","Microtus sikimensis (Hodgson 1849)","Sikkim Vole; Voles; Mice; Rodents; Mammals; Vertebrates; Chordates; Animals:null","Animalia","Chordata","Mammalia","Rodentia",,"Muridae","Microtus","Microtus sikimensis (Hodgson 1849)",,,"West Bengal State, Darjeeling District","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"1958-07-12T00:00:00.000Z","July",
"1074312","admin","West Bengal State, Darjeeling District",,"1","false","09/03/2016",,"Mammals",,"false","27.15","88.0833","APPROXIMATE","12/07/1958","12/07/1958","Species","Microtus sikimensis (Hodgson 1849)","Sikkim Vole; Voles; Mice; Rodents; Mammals; Vertebrates; Chordates; Animals:null","Animalia","Chordata","Mammalia","Rodentia",,"Muridae","Microtus","Microtus sikimensis (Hodgson 1849)",,,"West Bengal State, Darjeeling District","WEST BENGAL","Darjeeling Pulbazar","DARJILING",,"1958-07-12T00:00:00.000Z","July",
