id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
1456557,2015-03-02,2015-03-02,,Mumbai,96107,gharatmanoj,2015-05-05 05:36:29 UTC,2021-04-02 01:45:01 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1456557,https://inaturalist-open-data.s3.amazonaws.com/photos/1805769/medium.jpg?1430804199,,"","",6,1,false,62,"Sikkim, IN",27.2658099486,88.6798176776,,,,,29751,,obscured,true,,,Procapra picticaudata,Procapra picticaudata,Tibetan Gazelle,Mammalia,42372,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Antilopinae,,Antilopini,,Procapra,,Procapra picticaudata,,,,
1543338,2015-03-13,2015-03-13,,Kolkata,105321,aitijhya_kar,2015-05-25 18:34:05 UTC,2021-06-30 12:21:07 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/1543338,https://inaturalist-open-data.s3.amazonaws.com/photos/1911823/medium.JPG?1432578844,,wolf,                               ,0,0,true,62,"Darjiling, IN-WB, IN",27.03333,88.26667,,,,,,,,false,,,snow wolf,Canis,Wolves and Dogs,Mammalia,42044,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,,,Canis,,,,,,
1557247,2014-01-01,2014-01-01,,Kolkata,106340,samsum,2015-05-28 17:46:24 UTC,2021-05-05 05:46:07 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/1557247,https://inaturalist-open-data.s3.amazonaws.com/photos/1927822/medium.JPG?1432835210,,"himalayanwolf, darjeeling, west, bengal, India",Himalayan Wolf,2,0,true,62,India,27.071825142,88.3476058636,,,,,29775,,obscured,true,,,Canines,Canidae,Canines,Mammalia,42043,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,,,,,,,,,
1669244,2015-06-20,2015-06-20,,Kolkata,111574,mousamr,2015-06-22 21:01:46 UTC,2021-05-24 17:53:06 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1669244,https://inaturalist-open-data.s3.amazonaws.com/photos/2035244/medium.jpg?1435007063,,"Elephant, Mammal, Animal, Nature","The giant in his ""Masti"" mood.",6,0,false,62,"West Bengal, IN",26.6631898698,88.3937435777,,,,,29822,,obscured,true,,,Indian Elephant,Elephas maximus indicus,Indian Elephant,Mammalia,465033,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Afrotheria,Proboscidea,,,Elephantidae,,,,,Elephas,,Elephas maximus,,Elephas maximus indicus,,
5381654,2015/10/27 8:14 AM IST,2015-10-27,2015-10-27 02:44:00 UTC,Kolkata,34585,subhajit_roy,2017-03-17 18:05:40 UTC,2017-06-24 08:54:17 UTC,research,CC-BY,https://www.inaturalist.org/observations/5381654,https://inaturalist-open-data.s3.amazonaws.com/photos/6607964/medium.jpeg?1489773926,,"","",1,0,false,,Neora Valley National Park,27.101895,88.697994,,,,,,,,false,,,Himalayan Striped Squirrel,Tamiops macclellandii,Himalayan Striped Squirrel,Mammalia,75151,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,Sciuridae,Callosciurinae,,Callosciurini,,Tamiops,,Tamiops macclellandii,,,,
6727313,Sat Apr 15 2017 14:19:09 GMT+0530 (GMT+5:30),2017-04-15,2017-04-15 08:49:09 UTC,Chennai,327656,nisharai,2017-06-20 06:16:29 UTC,2019-01-28 19:53:15 UTC,casual,,https://www.inaturalist.org/observations/6727313,https://static.inaturalist.org/photos/8540237/medium.jpg?1497939407,,"",,0,0,false,3,"East Sikkim, Gangtok, Sikkim, IN",27.2690999722,88.7154365329,477,,,,477,,open,false,,,,Homo sapiens,Human,Mammalia,43584,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Primates,Haplorhini,Hominoidea,Hominidae,Homininae,,,,Homo,,Homo sapiens,,,,
8376110,2016/02/08 12:07 PM EST,2016-02-08,2016-02-08 17:07:00 UTC,Eastern Time (US & Canada),229868,pfaucher,2017-10-12 20:07:29 UTC,2021-07-09 21:28:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8376110,https://inaturalist-open-data.s3.amazonaws.com/photos/11138134/medium.jpeg?1507838816,,"",,4,0,false,,India,27.0647554864,88.0129469524,,,,,29775,,obscured,true,,,Himalayan Red Panda,Ailurus fulgens fulgens,Himalayan Red Panda,Mammalia,623378,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Ailuridae,,,,,Ailurus,,Ailurus fulgens,,Ailurus fulgens fulgens,,
10611182,2018-04-04 3:11:37 pm GMT+05:30,2018-04-04,2018-04-04 09:41:37 UTC,Chennai,827636,milanlama,2018-04-04 11:32:24 UTC,2019-07-16 17:58:38 UTC,casual,,https://www.inaturalist.org/observations/10611182,https://static.inaturalist.org/photos/14798707/medium.jpeg?1522841557,,"",,2,0,true,2,"MG Marg, Arithang, Gangtok, Sikkim 737101, India",27.3292732239,88.6128234863,,,,,,,,false,gps,gps,Domestic Dog,Canis familiaris,Domestic Dog,Mammalia,47144,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,,,Canis,,Canis familiaris,,,,
11482616,Fri Apr 27 2018 16:04:16 GMT+0530 (GMT+5:30),2018-04-27,2018-04-27 10:34:16 UTC,Chennai,908643,dylan100,2018-04-27 10:34:48 UTC,2019-07-16 17:57:22 UTC,casual,,https://www.inaturalist.org/observations/11482616,https://static.inaturalist.org/photos/16389596/medium.jpg?1524825296,,"",,3,0,true,3,"Siliguri, Siliguri, West Bengal, IN",26.7686828831,88.4167724849,10,,,,10,,,false,,,Domestic Dog,Canis familiaris,Domestic Dog,Mammalia,47144,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Canidae,,,,,Canis,,Canis familiaris,,,,
11482779,Fri Apr 27 2018 16:14:40 GMT+0530 (GMT+5:30),2018-04-27,2018-04-27 10:44:40 UTC,Chennai,908643,dylan100,2018-04-27 10:44:57 UTC,2018-04-28 12:03:57 UTC,research,,https://www.inaturalist.org/observations/11482779,https://static.inaturalist.org/photos/16390031/medium.jpg?1524825905,,"",,1,0,false,3,"Siliguri, Siliguri, West Bengal, IN",26.7691784632,88.4168040846,5,,,,5,,,false,,,Domestic Goat,Capra hircus,Domestic Goat,Mammalia,123070,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Antilopinae,,Caprini,,Capra,,Capra hircus,,,,
