"catalogNumber","createdBy","placeName","flagNotes","noOfIdentifications","geoPrivacy","createdOn","associatedMedia","group_id","dateAccuracy","isLocked","locationLat","locationLon","locationScale","fromDate","toDate","rank","scientificName","commonName","kingdom","phylum","class","order","superfamily","family","genus","species","","","reverseGeocodedName","state","tahsil","district","","toDate","observedInMonth","lastRevised",""
"15663733","Susmita Subba","West Sikkim, Sikkim, India",,"1","false","17/09/2020","/936576af-48fa-4a84-aaab-caa53e6eb44c/21335.jpg","Mammals","ACCURATE","false","27.3031986","88.2071598","APPROXIMATE","16/05/2020","16/05/2020","Species","Petaurista magnificus (Hodgson 1836)","Hodgson's Giant Flying Squirrel:English","Animalia","Chordata","Mammalia","Rodentia",,"Sciuridae","Petaurista","Petaurista magnificus (Hodgson 1836)",,,"West Sikkim, Sikkim, India","SIKKIM","Gyalshing","WEST",,"2020-05-16T18:30:00.000Z","May","2020-09-17T00:36:31.826Z",
"15181645","Phalee Biodiversity Management Committee","Sikkim, India",,"1","false","13/07/2020","/ace68826-48ae-46f5-93df-ad02daee3e13/9719.jpg","Mammals","ACCURATE","false","27.5329718","88.5122178","APPROXIMATE","12/07/2020","12/07/2020","Species","Bos grunniens Linnaeus 1766","","Animalia","Chordata","Mammalia","Artiodactyla",,"Bovidae","Bos","Bos grunniens Linnaeus 1766",,,"Sikkim, India","SIKKIM","Mangan","NORTH",,"2020-07-12T18:30:00.000Z","July","2020-07-13T08:34:57.968Z",
"14927303","Tsang Po","Sikkim, India",,"2","false","15/05/2020","/72f7c470-b19d-42ab-b11a-1312e4eba50a/3110.jpeg","Mammals","ACCURATE","false","27.5329718","88.5122178","APPROXIMATE","06/05/2020","06/05/2020","Infraspecies","Ochotona thibetana sikimaria Thomas 1922","","Animalia","Chordata","Mammalia","Lagomorpha",,"Ochotonidae","Ochotona","Ochotona thibetana (Milne-Edwards 1871)",,,"Sikkim, India","SIKKIM","Mangan","NORTH",,"2020-05-06T18:30:00.000Z","May","2020-05-15T19:51:36.625Z",
"14831579","Sujan Chatterjee","Gurudongmar Lake, Sikkim 737120",,"2","false","29/03/2020","/6ea521d2-91b5-4a78-9d32-aa5b9bb5fd62/52.JPG","Mammals","ACCURATE","false","28.0257555","88.7096926","APPROXIMATE","06/04/2015","06/04/2015","Species","Procapra picticaudata Hodgson 1846","Tibetan Gazelle:English","Animalia","Chordata","Mammalia","Artiodactyla",,"Bovidae","Procapra","Procapra picticaudata Hodgson 1846",,,"Gurudongmar Lake, Sikkim 737120","SIKKIM","Chungthang","NORTH",,"2015-04-06T18:30:00.000Z","April","2020-03-30T03:32:42.228Z",
"1814976","Bitupan Deka","Bulbulay, East Sikkim, Gangtok, Sikkim 737103, India",,"1","true","12/09/2018","/521a2cec-1363-44eb-a230-7721421c1bfa/610.jpeg","Mammals",,"false","27.341838836669922","88.6212158203125","APPROXIMATE","07/01/2018","07/01/2018","Species","Panthera pardus (Linnaeus 1758)","Common Leopard:English","Animalia","Chordata","Mammalia","Carnivora",,"Felidae","Panthera","Panthera pardus (Linnaeus 1758)",,,"Bulbulay, East Sikkim, Gangtok, Sikkim 737103, India","SIKKIM","Gangtok","EAST",,"2018-01-07T00:00:00.000Z","January","2018-09-15T14:40:31.122Z",
"1813132","Bitupan Deka","Unnamed Road, Katao, Sikkim 737120, India",,"2","false","29/08/2018","/09822aae-0d40-4eea-a38f-b93233c1a4a5/893.jpeg","Mammals",,"true","27.66956329345703","88.80095672607422","APPROXIMATE","05/01/2018","05/01/2018","Species","Bos grunniens Linnaeus 1766","Yak:English","Animalia","Chordata","Mammalia","Artiodactyla",,"Bovidae","Bos","Bos grunniens Linnaeus 1766",,,"Unnamed Road, Katao, Sikkim 737120, India","SIKKIM","Chungthang","NORTH",,"2018-01-05T00:00:00.000Z","January","2019-12-09T08:18:11.561Z",
"1725952","Siddarth Jude Machado","Lachen, Sikkim 737120, India",,"1","true","20/06/2016","/9f527f1f-ffe8-4a68-a0a7-551a0ba6187a/543.jpg","Mammals",,"false","27.7166667","88.55773909999994","APPROXIMATE","08/06/2016","08/06/2016","Species","Semnopithecus schistaceus Hodgson 1840","","Animalia","Chordata","Mammalia","Primates","Cercopithecoidea","Cercopithecidae","Semnopithecus","Semnopithecus schistaceus Hodgson 1840",,,"Lachen, Sikkim 737120, India","SIKKIM","Chungthang","NORTH",,"2016-06-08T00:00:00.000Z","June","2016-12-02T05:28:11.374Z",
"1725948","Siddarth Jude Machado","North Sikkim, Sikkim, India",,"1","false","20/06/2016","/250865e2-07c7-40f6-99b8-593548157a80/241.jpg","Mammals",,"false","27.789731979370117","88.55873107910156","APPROXIMATE","05/06/2016","05/06/2016","Species","Ochotona roylei (Ogilby 1839)","Royle's Pika:English","Animalia","Chordata","Mammalia","Lagomorpha",,"Ochotonidae","Ochotona","Ochotona roylei (Ogilby 1839)",,,"North Sikkim, Sikkim, India","SIKKIM","Chungthang","NORTH",,"2016-06-05T00:00:00.000Z","June","2016-12-02T05:28:11.396Z",
"1725945","Siddarth Jude Machado","North Sikkim, Sikkim, India",,"1","false","20/06/2016","/e4707b38-4cc3-4d69-ad6a-1b9ef2a07ba4/852.jpg","Mammals",,"false","27.82363510131836","88.55653381347656","APPROXIMATE","07/06/2016","07/06/2016","Species","Pseudois nayaur (Hodgson 1833)","Bharal, Himalayan Blue Sheep:English","Animalia","Chordata","Mammalia","Artiodactyla",,"Bovidae","Pseudois","Pseudois nayaur (Hodgson 1833)",,,"North Sikkim, Sikkim, India","SIKKIM","Chungthang","NORTH",,"2016-06-07T00:00:00.000Z","June","2016-12-02T05:28:11.419Z",
"1725943","Siddarth Jude Machado","North Sikkim, Sikkim, India",,"1","false","20/06/2016","/acebeaf0-4a46-4a2f-a698-a4628d2d4dd9/65.jpg","Mammals",,"false","27.82363510131836","88.55653381347656","APPROXIMATE","07/06/2016","07/06/2016","Infraspecies","Equus kiang polyodon Hodgson 1847","Tibetan Wild Ass:English","Animalia","Chordata","Mammalia","Perissodactyla",,"Equidae","Equus","Equus kiang Moorcroft 1841",,,"North Sikkim, Sikkim, India","SIKKIM","Chungthang","NORTH",,"2016-06-07T00:00:00.000Z","June","2016-12-02T05:28:11.439Z",
